
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 56 tensor(1.6520, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 2, 3, 3, 2, 0, 4, 3, 0], device='cuda:0')
0 57 tensor(2.0131, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 4, 3, 4, 1, 3, 0, 3, 4], device='cuda:0')
0 58 tensor(2.0806, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 1, 2, 5, 3, 2, 4, 4], device='cuda:0')
0 59 tensor(1.9031, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 3, 0, 3, 3, 3, 4, 1, 5], device='cuda:0')
0 60 tensor(1.7732, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 5, 3, 3, 0, 5, 5, 2, 4], device='cuda:0')
0 61 tensor(1.9952, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 5, 5, 5, 5, 5, 5, 2], device='cuda:0')
0 62 tensor(1.7204, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 3, 3, 3, 5, 4, 3, 5], device='cuda:0')
0 63 tensor(2.1025, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 3, 3, 4, 4, 5, 2, 3, 3], device='cuda:0')
0 64 tensor(1.7776, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 5, 0, 5, 5, 4, 5, 0, 0], device='cuda:0')
0 65 tensor(1.9557, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 4, 2, 0, 1, 0, 3, 0, 3], device='cuda:0')
0 66 tensor(1.9062, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 2, 2, 4, 0, 2, 2, 0, 1, 4], device='cuda:0')
0 67 tensor(1.8437, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 1, 5, 0, 1, 5, 2, 1, 0], device='cuda:0')
0 68 tensor(1.6306, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 2, 2, 3, 4, 0, 4, 2], device='cuda:0')
0 69 tensor(1.8398, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 5, 5, 0, 5, 2, 3, 0, 5], device='cuda:0')
0 70 tensor(1.5141, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 5, 3, 3, 2, 4, 4, 3, 4], device='cuda:0')
0 71 tensor(1.8357, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 5, 5, 0, 5, 5, 0, 0, 5], device='cuda:0')
