
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 59 tensor(1.7056, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 4, 2, 0, 3, 0, 4, 0, 4], device='cuda:0')
0 60 tensor(1.8405, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 5, 5, 5, 4, 3, 0, 1, 1], device='cuda:0')
0 61 tensor(1.8330, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 5, 0, 2, 4, 5, 1, 4, 5], device='cuda:0')
0 62 tensor(2.0102, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 1, 5, 0, 4, 5, 5, 5, 2], device='cuda:0')
0 63 tensor(1.9776, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 3, 0, 0, 3, 5, 3, 5], device='cuda:0')
0 64 tensor(1.8729, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 0, 0, 0, 3, 0, 3, 2, 0], device='cuda:0')
0 65 tensor(1.9591, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 2, 4, 2, 3, 3, 0, 4, 5], device='cuda:0')
0 66 tensor(1.8961, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 5, 1, 4, 5, 4, 1, 0, 4], device='cuda:0')
0 67 tensor(2.0569, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 5, 3, 5, 0, 5, 5, 4, 5], device='cuda:0')
0 68 tensor(1.9416, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 4, 3, 4, 0, 2, 0, 4, 1], device='cuda:0')
0 69 tensor(1.7541, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 2, 4, 1, 1, 4, 4, 2, 0, 1], device='cuda:0')
0 70 tensor(1.7770, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 4, 4, 0, 1, 1, 4, 4, 4], device='cuda:0')
0 71 tensor(2.1118, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 4, 0, 1, 3, 1, 2, 4, 0, 3], device='cuda:0')
0 72 tensor(1.9060, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 5, 4, 4, 4, 4, 3, 0, 5], device='cuda:0')
0 73 tensor(1.9199, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 0, 0, 1, 1, 1, 1, 2, 0], device='cuda:0')
0 74 tensor(1.9056, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 1, 4, 1, 0, 1, 1, 0, 2], device='cuda:0')
0 75 tensor(1.8624, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 4, 2, 2, 1, 4, 1, 3, 5], device='cuda:0')
0 76 tensor(1.8892, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 4, 4, 4, 5, 5, 4, 2, 4], device='cuda:0')
0 77 tensor(1.8125, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 0, 3, 0, 2, 5, 4, 0, 0], device='cuda:0')
0 78 tensor(2.0190, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 5, 1, 4, 0, 0, 1, 0], device='cuda:0')
0 79 tensor(1.6662, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 2, 4, 4, 1, 2, 0, 2, 5], device='cuda:0')
0 80 tensor(1.9057, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 5, 5, 1, 4, 1, 4, 4, 3], device='cuda:0')
0 81 tensor(1.8842, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 4, 0, 4, 5, 2, 0, 1, 2], device='cuda:0')
0 82 tensor(2.0050, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 4, 4, 4, 4, 1, 4, 4, 0], device='cuda:0')
0 83 tensor(1.8193, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 4, 4, 4, 0, 3, 2, 2, 4], device='cuda:0')
0 84 tensor(2.0291, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 0, 4, 4, 5, 2, 0, 5, 2], device='cuda:0')
0 85 tensor(1.7451, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 0, 2, 3, 3, 3, 0, 3, 0], device='cuda:0')
0 86 tensor(1.8496, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 4, 4, 4, 1, 3, 1, 0, 1], device='cuda:0')
0 87 tensor(1.9762, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 1, 1, 0, 3, 5, 2, 1, 4], device='cuda:0')
0 88 tensor(1.8375, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 2, 0, 0, 2, 1, 0, 0, 0], device='cuda:0')
0 89 tensor(2.1043, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 1, 5, 1, 3, 5, 4, 3], device='cuda:0')
0 90 tensor(1.8448, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 5, 0, 0, 5, 0, 3, 3], device='cuda:0')
0 91 tensor(1.9932, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 5, 4, 1, 1, 4, 4, 1, 5], device='cuda:0')
0 92 tensor(1.8327, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 2, 0, 0, 5, 2, 1, 0], device='cuda:0')
0 93 tensor(1.7816, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 1, 1, 1, 1, 4, 1, 1, 1], device='cuda:0')
0 94 tensor(1.7490, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 4, 3, 2, 4, 4, 4, 3, 3], device='cuda:0')
0 95 tensor(2.0080, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 2, 2, 0, 2, 0, 2, 3], device='cuda:0')
0 96 tensor(1.8005, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 5, 5, 0, 0, 5, 5, 0, 3], device='cuda:0')
0 97 tensor(1.8567, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 4, 0, 5, 2, 5, 4, 4, 2], device='cuda:0')
0 98 tensor(1.9980, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 1, 1, 5, 1, 1, 4, 1, 3], device='cuda:0')
0 99 tensor(1.9567, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 2, 5, 2, 0, 0, 1, 4, 4, 4], device='cuda:0')
0 100 tensor(1.9806, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 0, 2, 4, 4, 3, 2, 4, 3], device='cuda:0')
0 101 tensor(1.9870, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 4, 1, 0, 4, 1, 1, 5], device='cuda:0')
0 102 tensor(1.8055, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 0, 1, 2, 2, 2, 0, 1, 0], device='cuda:0')
0 103 tensor(1.8046, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 2, 0, 4, 3, 1, 1, 4, 4], device='cuda:0')
0 104 tensor(2.1294, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 0, 3, 4, 2, 4, 0, 0, 3], device='cuda:0')
0 105 tensor(1.7571, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 0, 5, 2, 1, 3, 0, 0, 1], device='cuda:0')
0 106 tensor(1.9217, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 4, 2, 2, 3, 5, 5, 1], device='cuda:0')
0 107 tensor(1.6886, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 2, 0, 0, 5, 5, 5, 0, 1], device='cuda:0')
0 108 tensor(1.8716, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 2, 4, 4, 1, 4, 0, 2, 4], device='cuda:0')
0 109 tensor(1.7742, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 4, 3, 5, 3, 5, 4, 0], device='cuda:0')
0 110 tensor(1.8270, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 2, 4, 5, 4, 5, 1, 3, 0], device='cuda:0')
0 111 tensor(1.8506, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 3, 3, 4, 4, 1, 0, 5, 0], device='cuda:0')
0 112 tensor(2.0982, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 2, 0, 2, 1, 2, 0, 2, 4, 5], device='cuda:0')
0 113 tensor(1.7463, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 2, 5, 4, 1, 5, 5, 5, 2, 4], device='cuda:0')
0 114 tensor(1.8059, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 2, 2, 2, 0, 2, 2, 3, 3], device='cuda:0')
0 115 tensor(1.8047, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 1, 0, 4, 3, 2, 3, 2, 0], device='cuda:0')
0 116 tensor(1.9394, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 2, 4, 5, 5, 5, 5, 3, 0], device='cuda:0')
0 117 tensor(1.9009, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 2, 3, 0, 0, 3, 3, 2, 1], device='cuda:0')
0 118 tensor(1.8962, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 5, 5, 5, 5, 5, 1, 3, 3], device='cuda:0')
0 119 tensor(1.7099, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 5, 5, 5, 5, 4, 2, 1, 3], device='cuda:0')
0 120 tensor(1.9151, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 5, 5, 1, 1, 5, 2, 5, 4], device='cuda:0')
0 121 tensor(1.8797, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 5, 5, 5, 4, 4, 3, 0, 4], device='cuda:0')
0 122 tensor(1.7896, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 2, 1, 4, 5, 3, 1, 3, 0, 5], device='cuda:0')
0 123 tensor(1.8314, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 2, 1, 1, 1, 5, 5, 5, 1], device='cuda:0')
0 124 tensor(1.7824, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 2, 3, 4, 1, 4, 2, 4, 0, 2], device='cuda:0')
0 125 tensor(1.9958, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 5, 0, 0, 2, 4, 5, 4, 0], device='cuda:0')
0 126 tensor(1.8090, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 2, 2, 5, 2, 2, 2, 2, 2], device='cuda:0')
0 127 tensor(1.9891, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 4, 0, 4, 0, 4, 4, 0, 0, 3], device='cuda:0')
0 128 tensor(1.9163, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 5, 0, 5, 5, 5, 4, 4, 2], device='cuda:0')
0 129 tensor(1.9363, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 3, 3, 0, 3, 2, 0, 3, 1, 3], device='cuda:0')
0 130 tensor(1.8492, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 0, 1, 5, 5, 5, 0, 5, 4], device='cuda:0')
0 131 tensor(1.9471, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 0, 2, 0, 1, 5, 3, 2, 2], device='cuda:0')
0 132 tensor(1.9872, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 0, 3, 0, 4, 0, 0, 0], device='cuda:0')
0 133 tensor(2.0582, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 4, 2, 4, 2, 5, 2, 0, 0], device='cuda:0')
0 134 tensor(1.5542, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 4, 4, 4, 4, 2, 0, 2, 1, 2], device='cuda:0')
0 135 tensor(1.8979, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 2, 4, 2, 4, 3, 4, 3], device='cuda:0')
0 136 tensor(1.7167, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 4, 0, 3, 4, 1, 4, 4, 2], device='cuda:0')
0 137 tensor(1.7746, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 0, 0, 0, 5, 3, 0, 4, 2], device='cuda:0')
0 138 tensor(1.8707, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 3, 1, 2, 3, 0, 3, 5, 0], device='cuda:0')
0 139 tensor(1.7583, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 0, 0, 2, 3, 4, 0, 3, 0], device='cuda:0')
0 140 tensor(1.8144, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 3, 1, 2, 1, 5, 1, 3, 0], device='cuda:0')
0 141 tensor(1.8328, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 4, 2, 2, 3, 0, 2, 3, 0, 0], device='cuda:0')
0 142 tensor(1.5832, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 2, 2, 2, 2, 3, 3, 3, 4, 0], device='cuda:0')
0 143 tensor(1.8471, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 3, 2, 0, 1, 3, 4, 2, 5], device='cuda:0')
0 144 tensor(1.8451, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 5, 0, 0, 5, 0, 0, 5, 0], device='cuda:0')
0 145 tensor(1.8757, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 3, 0, 2, 2, 2, 0, 4, 3], device='cuda:0')
0 146 tensor(1.8622, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 3, 1, 2, 0, 1, 0, 5], device='cuda:0')
0 147 tensor(1.8585, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 3, 2, 1, 4, 4, 0, 5, 0], device='cuda:0')
0 148 tensor(1.8089, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 0, 4, 3, 4, 2, 5, 4, 3], device='cuda:0')
0 149 tensor(1.8306, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 4, 5, 3, 4, 1, 3, 3, 3], device='cuda:0')
0 150 tensor(2.0709, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 3, 0, 3, 2, 4, 4, 4, 4], device='cuda:0')
0 151 tensor(1.7262, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 0, 5, 4, 4, 4, 4, 3, 0], device='cuda:0')
0 152 tensor(2.0589, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 5, 2, 3, 2, 0, 1, 3], device='cuda:0')
0 153 tensor(1.7431, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 0, 4, 2, 4, 4, 4, 3, 3], device='cuda:0')
0 154 tensor(1.6618, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 3, 3, 1, 4, 5, 4, 3, 0, 1], device='cuda:0')
0 155 tensor(2.1081, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 4, 3, 3, 2, 2, 3, 5, 0, 2], device='cuda:0')
0 156 tensor(1.8972, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 2, 5, 0, 2, 5, 0, 0, 2, 2], device='cuda:0')
0 157 tensor(2.0435, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 4, 0, 0, 0, 0, 5, 3, 3, 3], device='cuda:0')
0 158 tensor(2.0489, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 4, 0, 4, 4, 3, 0, 5, 2], device='cuda:0')
0 159 tensor(1.8573, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 2, 5, 3, 2, 0, 3, 5, 0], device='cuda:0')
0 160 tensor(1.9666, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 4, 5, 3, 2, 3, 3, 3, 1], device='cuda:0')
