
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 79 tensor(1.9176, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 0, 1, 2, 3, 1, 3, 0, 4], device='cuda:0')
0 80 tensor(1.8225, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 2, 2, 3, 5, 2, 1, 4, 3], device='cuda:0')
0 81 tensor(1.9301, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 4, 5, 1, 0, 0, 2, 3, 1, 4], device='cuda:0')
0 82 tensor(1.8356, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 0, 3, 0, 5, 2, 4, 3], device='cuda:0')
0 83 tensor(1.8286, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 3, 2, 2, 3, 0, 3, 0, 0], device='cuda:0')
0 84 tensor(2.0609, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 3, 2, 5, 2, 4, 3, 3, 2], device='cuda:0')
0 85 tensor(1.7546, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 1, 0, 3, 3, 3, 3, 0, 3], device='cuda:0')
0 86 tensor(1.8172, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 3, 5, 3, 5, 1, 2, 2, 1], device='cuda:0')
0 87 tensor(1.8168, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 0, 2, 2, 5, 2, 2, 1, 3], device='cuda:0')
0 88 tensor(1.8038, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 2, 2, 2, 3, 0, 1, 0, 2], device='cuda:0')
0 89 tensor(1.9678, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 0, 5, 2, 4, 3, 4, 1, 2], device='cuda:0')
0 90 tensor(1.7322, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 0, 4, 1, 0, 5, 5, 5, 1], device='cuda:0')
0 91 tensor(1.7590, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 2, 5, 2, 3, 3, 0, 0], device='cuda:0')
0 92 tensor(1.8749, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 5, 0, 3, 3, 2, 2, 0, 0], device='cuda:0')
0 93 tensor(1.7714, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 5, 5, 3, 4, 3, 3, 5, 3], device='cuda:0')
0 94 tensor(1.8109, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 4, 4, 5, 0, 4, 0, 5, 2], device='cuda:0')
0 95 tensor(1.8626, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 0, 2, 1, 2, 2, 3, 4, 3], device='cuda:0')
0 96 tensor(1.8799, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 5, 5, 5, 0, 2, 4, 0, 0], device='cuda:0')
0 97 tensor(1.7528, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 3, 2, 4, 4, 0, 0, 0, 3], device='cuda:0')
0 98 tensor(1.8566, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 2, 0, 2, 1, 0, 2, 3, 2], device='cuda:0')
0 99 tensor(1.8359, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 5, 5, 1, 0, 5, 3, 5, 2], device='cuda:0')
0 100 tensor(1.7601, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 4, 1, 3, 0, 2, 1, 5, 1, 5], device='cuda:0')
0 101 tensor(1.7678, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 1, 0, 0, 2, 1, 3, 0, 1], device='cuda:0')
0 102 tensor(1.8616, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 1, 2, 1, 1, 4, 0, 4, 5, 3], device='cuda:0')
0 103 tensor(1.7343, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 5, 0, 0, 2, 3, 4, 4, 5], device='cuda:0')
0 104 tensor(1.9261, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 4, 4, 5, 2, 0, 1, 0, 4], device='cuda:0')
0 105 tensor(1.8441, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 2, 3, 4, 4, 4, 3, 0, 2], device='cuda:0')
0 106 tensor(1.8325, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 4, 2, 4, 0, 3, 2, 0, 2], device='cuda:0')
0 107 tensor(1.7972, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 1, 0, 4, 0, 2, 2, 5, 3], device='cuda:0')
0 108 tensor(1.8757, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 1, 1, 5, 1, 4, 1, 1, 2], device='cuda:0')
0 109 tensor(1.7911, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 5, 4, 4, 2, 5, 4, 5, 2], device='cuda:0')
0 110 tensor(1.8908, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 4, 4, 2, 0, 4, 5, 1, 0, 0], device='cuda:0')
0 111 tensor(1.8908, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 2, 3, 3, 4, 2, 2, 1, 0], device='cuda:0')
0 112 tensor(1.8362, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 5, 2, 2, 0, 0, 5, 3, 5], device='cuda:0')
0 113 tensor(1.7820, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 5, 1, 0, 1, 0, 3, 2, 1], device='cuda:0')
0 114 tensor(1.6545, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 4, 4, 5, 0, 0, 2, 4, 0], device='cuda:0')
0 115 tensor(1.8416, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 4, 1, 5, 4, 1, 3, 2, 1], device='cuda:0')
0 116 tensor(1.8637, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 2, 0, 5, 2, 1, 3, 3, 4, 0], device='cuda:0')
0 117 tensor(1.7184, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 4, 2, 2, 0, 0, 2, 5, 4, 0], device='cuda:0')
0 118 tensor(1.8677, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 1, 1, 1, 0, 0, 0, 1, 1], device='cuda:0')
0 119 tensor(1.7792, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 2, 5, 4, 3, 3, 0, 0, 3], device='cuda:0')
0 120 tensor(1.8916, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 1, 4, 2, 5, 0, 2, 5, 2], device='cuda:0')
