
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 90 tensor(1.7214, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 0, 0, 5, 0, 4, 4, 3, 3], device='cuda:0')
0 91 tensor(1.9346, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 1, 2, 1, 2, 0, 0, 0, 0], device='cuda:0')
0 92 tensor(1.7441, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 3, 1, 0, 2, 2, 2, 3, 4], device='cuda:0')
0 93 tensor(1.7780, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 1, 5, 1, 0, 1, 0, 4, 4], device='cuda:0')
0 94 tensor(1.9026, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 5, 5, 5, 5, 0, 5, 2, 1], device='cuda:0')
0 95 tensor(1.8333, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 0, 5, 0, 0, 3, 3, 1], device='cuda:0')
0 96 tensor(1.5780, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 3, 3, 1, 1, 1, 1, 1, 4], device='cuda:0')
0 97 tensor(1.9300, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 3, 3, 4, 3, 0, 0, 0, 2], device='cuda:0')
0 98 tensor(1.7226, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 0, 2, 4, 4, 2, 5, 3], device='cuda:0')
0 99 tensor(1.8289, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 0, 4, 3, 4, 1, 4, 0, 0], device='cuda:0')
0 100 tensor(1.8735, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 3, 3, 0, 1, 4, 4, 4, 4], device='cuda:0')
0 101 tensor(1.6774, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 0, 4, 0, 0, 2, 3, 1, 0], device='cuda:0')
0 102 tensor(1.9091, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 1, 5, 1, 0, 5, 1, 1, 4], device='cuda:0')
0 103 tensor(1.9071, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 2, 5, 3, 2, 4, 3, 0, 2], device='cuda:0')
0 104 tensor(1.8719, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 1, 5, 3, 4, 3, 0, 2, 2, 1], device='cuda:0')
0 105 tensor(1.8143, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 3, 0, 4, 2, 3, 2, 3, 0], device='cuda:0')
0 106 tensor(1.8845, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 3, 1, 3, 0, 3, 0, 5, 3], device='cuda:0')
0 107 tensor(1.8102, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 1, 0, 4, 3, 0, 0, 0, 0], device='cuda:0')
0 108 tensor(1.9721, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 2, 1, 2, 2, 2, 4, 0, 2, 2], device='cuda:0')
0 109 tensor(1.8729, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 1, 4, 2, 0, 1, 0, 4, 0], device='cuda:0')
0 110 tensor(1.8027, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 2, 3, 0, 2, 2, 2, 1, 3], device='cuda:0')
0 111 tensor(1.8770, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 1, 0, 5, 1, 5, 1, 4, 5, 5], device='cuda:0')
0 112 tensor(1.8224, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 4, 2, 4, 2, 0, 4, 3, 1, 1], device='cuda:0')
0 113 tensor(1.8626, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 0, 1, 0, 1, 1, 5, 4, 3], device='cuda:0')
0 114 tensor(1.8065, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 5, 4, 1, 1, 2, 1, 0, 1], device='cuda:0')
0 115 tensor(1.8877, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 2, 1, 0, 5, 5, 2, 0, 4], device='cuda:0')
0 116 tensor(1.8831, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 0, 0, 0, 3, 1, 4, 5, 4, 5], device='cuda:0')
0 117 tensor(1.9217, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 2, 4, 0, 3, 2, 1, 0], device='cuda:0')
0 118 tensor(1.8609, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 1, 3, 1, 1, 5, 3, 0, 1], device='cuda:0')
0 119 tensor(1.8286, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 4, 0, 3, 4, 2, 5, 0, 2], device='cuda:0')
0 120 tensor(1.8762, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 4, 1, 3, 3, 1, 1, 4, 3], device='cuda:0')
0 121 tensor(1.8516, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 4, 5, 2, 4, 5, 3, 2, 2, 4], device='cuda:0')
0 122 tensor(1.8961, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 5, 4, 4, 2, 1, 1, 1], device='cuda:0')
0 123 tensor(1.9128, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 0, 4, 5, 4, 5, 0, 5, 3], device='cuda:0')
0 124 tensor(1.8368, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 5, 5, 5, 1, 1, 0, 0, 5], device='cuda:0')
0 125 tensor(1.9046, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 3, 0, 3, 2, 4, 0, 5, 0], device='cuda:0')
0 126 tensor(1.9159, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 4, 0, 3, 3, 4, 0, 0, 0], device='cuda:0')
0 127 tensor(1.7220, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 2, 2, 4, 1, 3, 0, 0, 3], device='cuda:0')
0 128 tensor(1.8266, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 4, 0, 0, 1, 2, 4, 4, 3, 4], device='cuda:0')
0 129 tensor(1.7854, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 5, 5, 3, 5, 4, 2, 4, 3], device='cuda:0')
0 130 tensor(1.8832, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 4, 5, 2, 3, 3, 2, 2, 1], device='cuda:0')
0 131 tensor(1.9108, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 5, 4, 5, 2, 0, 2, 5, 1], device='cuda:0')
0 132 tensor(1.9522, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 0, 0, 2, 1, 2, 2, 0, 2], device='cuda:0')
0 133 tensor(1.9165, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 2, 0, 4, 2, 3, 3, 4, 5], device='cuda:0')
0 134 tensor(1.8724, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 1, 0, 4, 3, 0, 2, 2, 4], device='cuda:0')
0 135 tensor(1.8367, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 3, 2, 5, 1, 1, 1, 1, 1], device='cuda:0')
0 136 tensor(1.7719, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 1, 1, 1, 2, 3, 2, 0, 1], device='cuda:0')
0 137 tensor(1.8029, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 2, 1, 1, 5, 5, 1, 0, 3, 1], device='cuda:0')
0 138 tensor(1.6874, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 1, 5, 0, 2, 2, 0, 3, 1], device='cuda:0')
0 139 tensor(1.8515, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 0, 2, 5, 3, 3, 1, 1, 0], device='cuda:0')
0 140 tensor(1.7998, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 2, 3, 1, 4, 4, 5, 0, 5, 1], device='cuda:0')
0 141 tensor(1.8838, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 3, 0, 1, 3, 1, 5, 3, 1], device='cuda:0')
0 142 tensor(1.9052, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 0, 5, 1, 0, 1, 5, 0, 3], device='cuda:0')
0 143 tensor(1.8715, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 2, 3, 1, 2, 1, 4, 4], device='cuda:0')
0 144 tensor(1.7898, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 0, 5, 0, 2, 0, 3, 2, 0], device='cuda:0')
0 145 tensor(1.7835, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 3, 1, 5, 5, 4, 4, 4, 0], device='cuda:0')
0 146 tensor(1.8807, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 2, 2, 0, 0, 0, 0, 1, 0], device='cuda:0')
0 147 tensor(1.8290, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 1, 1, 1, 2, 3, 2, 3, 2, 0], device='cuda:0')
0 148 tensor(1.7521, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 4, 5, 1, 1, 1, 2, 5, 3], device='cuda:0')
0 149 tensor(1.7648, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 3, 0, 0, 1, 1, 0, 3, 3], device='cuda:0')
0 150 tensor(1.7074, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 5, 3, 5, 5, 5, 2, 4, 2, 5], device='cuda:0')
0 151 tensor(1.8499, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 2, 4, 5, 2, 1, 1, 1, 3, 4], device='cuda:0')
0 152 tensor(1.8268, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 3, 0, 5, 5, 0, 2, 4], device='cuda:0')
0 153 tensor(1.8765, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 0, 3, 4, 3, 5, 3, 3, 4, 5], device='cuda:0')
0 154 tensor(1.7830, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 1, 0, 1, 0, 2, 1, 1, 1], device='cuda:0')
0 155 tensor(1.7486, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 2, 5, 5, 2, 2, 2, 3, 4], device='cuda:0')
0 156 tensor(1.7823, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 0, 0, 4, 4, 3, 4, 3, 4, 3], device='cuda:0')
0 157 tensor(1.8333, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 1, 3, 2, 4, 2, 3, 5, 1], device='cuda:0')
0 158 tensor(1.7592, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 0, 5, 3, 4, 4, 3, 5, 0], device='cuda:0')
0 159 tensor(1.8643, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 1, 3, 4, 0, 4, 5, 5, 4, 0], device='cuda:0')
0 160 tensor(1.8726, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 2, 2, 2, 5, 4, 4, 1, 4], device='cuda:0')
0 161 tensor(1.7964, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 3, 0, 3, 5, 5, 3, 0, 1], device='cuda:0')
0 162 tensor(1.8594, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 5, 2, 2, 2, 0, 4, 0, 3], device='cuda:0')
0 163 tensor(1.7941, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 5, 2, 0, 3, 0, 0, 2, 0, 3], device='cuda:0')
0 164 tensor(1.8689, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 5, 3, 4, 4, 0, 4, 5, 1], device='cuda:0')
0 165 tensor(1.7704, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 4, 3, 4, 4, 4, 2, 3, 4, 2], device='cuda:0')
0 166 tensor(1.8781, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 0, 5, 2, 2, 1, 2, 5, 2, 2], device='cuda:0')
0 167 tensor(1.8153, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([3, 3, 3, 0, 5, 5, 1, 0, 0, 0], device='cuda:0')
0 168 tensor(1.7715, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 4, 5, 3, 5, 3, 5, 2], device='cuda:0')
0 169 tensor(1.9834, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 0, 0, 4, 2, 1, 3, 1, 3], device='cuda:0')
0 170 tensor(1.7467, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 0, 1, 1, 0, 4, 0, 1, 5, 2], device='cuda:0')
0 171 tensor(1.8264, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 1, 0, 4, 0, 0, 3, 3, 5, 3], device='cuda:0')
0 172 tensor(1.8627, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 4, 0, 2, 0, 2, 5, 4, 0, 3], device='cuda:0')
